시도명,구시군명,읍면동명,투표구명,후보자,득표수
서울,종로구,부재자투표,,선거인수,2853
서울,종로구,부재자투표,,투표수,2737
서울,종로구,부재자투표,,한나라당 이회창,805
서울,종로구,부재자투표,,새천년민주당 노무현,1676
서울,종로구,부재자투표,,하나로국민연합 이한동,57
서울,종로구,부재자투표,,민주노동당 권영길,76
서울,종로구,부재자투표,,사회당 김영규,6
서울,종로구,부재자투표,,호국당 김길수,9
서울,종로구,부재자투표,,무효 투표수,108
서울,종로구,부재자투표,,기권자수,116
서울,종로구,청운동,청운동제1투,선거인수,2080
서울,종로구,청운동,청운동제1투,투표수,1556
서울,종로구,청운동,청운동제1투,한나라당 이회창,799
서울,종로구,청운동,청운동제1투,새천년민주당 노무현,709
서울,종로구,청운동,청운동제1투,하나로국민연합 이한동,5
서울,종로구,청운동,청운동제1투,민주노동당 권영길,34
서울,종로구,청운동,청운동제1투,사회당 김영규,1
서울,종로구,청운동,청운동제1투,호국당 김길수,2
서울,종로구,청운동,청운동제1투,무효 투표수,6
서울,종로구,청운동,청운동제1투,기권자수,524
서울,종로구,청운동,청운동제2투,선거인수,1821
서울,종로구,청운동,청운동제2투,투표수,1335
서울,종로구,청운동,청운동제2투,한나라당 이회창,811
서울,종로구,청운동,청운동제2투,새천년민주당 노무현,470
서울,종로구,청운동,청운동제2투,하나로국민연합 이한동,13
서울,종로구,청운동,청운동제2투,민주노동당 권영길,33
서울,종로구,청운동,청운동제2투,사회당 김영규,0
서울,종로구,청운동,청운동제2투,호국당 김길수,2
서울,종로구,청운동,청운동제2투,무효 투표수,6
서울,종로구,청운동,청운동제2투,기권자수,486
서울,종로구,효자동,효자동제1투,선거인수,3118
서울,종로구,효자동,효자동제1투,투표수,2320
서울,종로구,효자동,효자동제1투,한나라당 이회창,1227
서울,종로구,효자동,효자동제1투,새천년민주당 노무현,990
서울,종로구,효자동,효자동제1투,하나로국민연합 이한동,11
서울,종로구,효자동,효자동제1투,민주노동당 권영길,80
서울,종로구,효자동,효자동제1투,사회당 김영규,0
서울,종로구,효자동,효자동제1투,호국당 김길수,1
서울,종로구,효자동,효자동제1투,무효 투표수,11
서울,종로구,효자동,효자동제1투,기권자수,798
서울,종로구,효자동,효자동제2투,선거인수,3354
서울,종로구,효자동,효자동제2투,투표수,2413
서울,종로구,효자동,효자동제2투,한나라당 이회창,1167
서울,종로구,효자동,효자동제2투,새천년민주당 노무현,1146
서울,종로구,효자동,효자동제2투,하나로국민연합 이한동,5
서울,종로구,효자동,효자동제2투,민주노동당 권영길,82
서울,종로구,효자동,효자동제2투,사회당 김영규,1
서울,종로구,효자동,효자동제2투,호국당 김길수,1
서울,종로구,효자동,효자동제2투,무효 투표수,11
서울,종로구,효자동,효자동제2투,기권자수,941
서울,종로구,효자동,효자동제3투,선거인수,2622
서울,종로구,효자동,효자동제3투,투표수,1879
서울,종로구,효자동,효자동제3투,한나라당 이회창,897
서울,종로구,효자동,효자동제3투,새천년민주당 노무현,916
서울,종로구,효자동,효자동제3투,하나로국민연합 이한동,4
서울,종로구,효자동,효자동제3투,민주노동당 권영길,48
서울,종로구,효자동,효자동제3투,사회당 김영규,1
서울,종로구,효자동,효자동제3투,호국당 김길수,2
서울,종로구,효자동,효자동제3투,무효 투표수,11
서울,종로구,효자동,효자동제3투,기권자수,743
서울,종로구,사직동,사직동제1투,선거인수,2444
서울,종로구,사직동,사직동제1투,투표수,1741
서울,종로구,사직동,사직동제1투,한나라당 이회창,840
서울,종로구,사직동,사직동제1투,새천년민주당 노무현,824
서울,종로구,사직동,사직동제1투,하나로국민연합 이한동,3
서울,종로구,사직동,사직동제1투,민주노동당 권영길,56
서울,종로구,사직동,사직동제1투,사회당 김영규,1
서울,종로구,사직동,사직동제1투,호국당 김길수,5
서울,종로구,사직동,사직동제1투,무효 투표수,12
서울,종로구,사직동,사직동제1투,기권자수,703
서울,종로구,사직동,사직동제2투,선거인수,2366
서울,종로구,사직동,사직동제2투,투표수,1681
서울,종로구,사직동,사직동제2투,한나라당 이회창,869
서울,종로구,사직동,사직동제2투,새천년민주당 노무현,734
서울,종로구,사직동,사직동제2투,하나로국민연합 이한동,2
서울,종로구,사직동,사직동제2투,민주노동당 권영길,63
서울,종로구,사직동,사직동제2투,사회당 김영규,1
서울,종로구,사직동,사직동제2투,호국당 김길수,4
서울,종로구,사직동,사직동제2투,무효 투표수,8
서울,종로구,사직동,사직동제2투,기권자수,685
서울,종로구,사직동,사직동제3투,선거인수,1793
서울,종로구,사직동,사직동제3투,투표수,1324
서울,종로구,사직동,사직동제3투,한나라당 이회창,656
서울,종로구,사직동,사직동제3투,새천년민주당 노무현,621
서울,종로구,사직동,사직동제3투,하나로국민연합 이한동,4
서울,종로구,사직동,사직동제3투,민주노동당 권영길,37
서울,종로구,사직동,사직동제3투,사회당 김영규,0
서울,종로구,사직동,사직동제3투,호국당 김길수,2
서울,종로구,사직동,사직동제3투,무효 투표수,4
서울,종로구,사직동,사직동제3투,기권자수,469
서울,종로구,삼청동,삼청동제1투,선거인수,2035
서울,종로구,삼청동,삼청동제1투,투표수,1495
서울,종로구,삼청동,삼청동제1투,한나라당 이회창,793
서울,종로구,삼청동,삼청동제1투,새천년민주당 노무현,631
서울,종로구,삼청동,삼청동제1투,하나로국민연합 이한동,3
서울,종로구,삼청동,삼청동제1투,민주노동당 권영길,59
서울,종로구,삼청동,삼청동제1투,사회당 김영규,1
서울,종로구,삼청동,삼청동제1투,호국당 김길수,2
서울,종로구,삼청동,삼청동제1투,무효 투표수,6
서울,종로구,삼청동,삼청동제1투,기권자수,540
서울,종로구,삼청동,삼청동제2투,선거인수,1813
서울,종로구,삼청동,삼청동제2투,투표수,1330
서울,종로구,삼청동,삼청동제2투,한나라당 이회창,748
서울,종로구,삼청동,삼청동제2투,새천년민주당 노무현,544
서울,종로구,삼청동,삼청동제2투,하나로국민연합 이한동,2
서울,종로구,삼청동,삼청동제2투,민주노동당 권영길,31
서울,종로구,삼청동,삼청동제2투,사회당 김영규,0
서울,종로구,삼청동,삼청동제2투,호국당 김길수,2
서울,종로구,삼청동,삼청동제2투,무효 투표수,3
서울,종로구,삼청동,삼청동제2투,기권자수,483
서울,종로구,부암동,부암동제1투,선거인수,3481
서울,종로구,부암동,부암동제1투,투표수,2479
서울,종로구,부암동,부암동제1투,한나라당 이회창,1388
서울,종로구,부암동,부암동제1투,새천년민주당 노무현,994
서울,종로구,부암동,부암동제1투,하나로국민연합 이한동,9
서울,종로구,부암동,부암동제1투,민주노동당 권영길,72
서울,종로구,부암동,부암동제1투,사회당 김영규,2
서울,종로구,부암동,부암동제1투,호국당 김길수,1
서울,종로구,부암동,부암동제1투,무효 투표수,13
서울,종로구,부암동,부암동제1투,기권자수,1002
서울,종로구,부암동,부암동제2투,선거인수,2850
서울,종로구,부암동,부암동제2투,투표수,2027
서울,종로구,부암동,부암동제2투,한나라당 이회창,1144
서울,종로구,부암동,부암동제2투,새천년민주당 노무현,790
