prov,sgg,dong_norm,median_apt_price_sqm
Busan,강서,녹산동,273.4788614864628
Busan,강서,대저동,422.09368206929804
Busan,강서,명지동,555.489894811488
Busan,강서,신호동,243.02210341003016
Busan,강서,지사동,248.4868367382672
Busan,강서,화전동,306.7648314127187
Busan,금정,구서동,449.2026652691473
Busan,금정,금사동,336.68068754685476
Busan,금정,남산동,287.35632183908046
Busan,금정,부곡동,475.0791798633105
Busan,금정,서동,270.9443284655972
Busan,금정,장전동,623.7936067040158
Busan,금정,청룡동,339.16331836445283
Busan,금정,회동동,266.20313238228886
Busan,기장,고촌리,375.63724174939625
Busan,기장,교리,264.783759929391
Busan,기장,내리,535.3652897385182
Busan,기장,달산리,358.00017334745235
Busan,기장,대라리,274.58683684543087
Busan,기장,대변리,492.24505460582856
Busan,기장,동부리,275.6892230576441
Busan,기장,매학리,442.3581453899458
Busan,기장,명례리,210.38652740206868
Busan,기장,모전리,347.1143618273041
Busan,기장,방곡리,339.8427222498319
Busan,기장,삼성리,611.8597240983305
Busan,기장,서부리,324.5590079702229
Busan,기장,용수리,374.210790589158
Busan,기장,이천리,529.416215830632
Busan,기장,청강리,334.27683161925233
Busan,남,감만동,268.69158878504675
Busan,남,대연동,741.9409858434249
Busan,남,문현동,491.9933380806375
Busan,남,용당동,332.2148867880675
Busan,남,용호동,521.1705807103713
Busan,남,우암동,316.1592505854801
Busan,동,범일동,471.36460051850105
Busan,동,수정동,417.0303909823116
Busan,동,좌천동,398.83582746435286
Busan,동,초량동,623.7317770010904
Busan,동래,낙민동,485.01824817786155
Busan,동래,명륜동,764.9101583599385
Busan,동래,명장동,507.4213128734775
Busan,동래,복천동,396.1235784105677
Busan,동래,사직동,648.0668831998596
Busan,동래,수안동,454.8620153686798
Busan,동래,안락동,500.7511266900351
Busan,동래,온천동,558.668605221193
Busan,동래,칠산동,723.6716815844601
Busan,부산진,가야동,354.73781919013356
Busan,부산진,개금동,405.9301094246382
Busan,부산진,당감동,348.8731089842544
Busan,부산진,범전동,864.7709945219405
Busan,부산진,범천동,449.04399791845026
Busan,부산진,부암동,423.7632293583165
Busan,부산진,부전동,443.9252336448598
Busan,부산진,양정동,433.45763104058113
Busan,부산진,연지동,395.53079080376347
Busan,부산진,전포동,467.98542425819886
Busan,부산진,초읍동,424.0372669321122
Busan,북,구포동,325.6029080514085
Busan,북,금곡동,255.57522995910676
Busan,북,덕천동,278.58257187430354
Busan,북,만덕동,388.26087365755865
Busan,북,화명동,504.7612748016238
Busan,사상,감전동,295.67485545179755
Busan,사상,괘법동,379.84969365291954
Busan,사상,덕포동,234.63966223559902
Busan,사상,모라동,247.34982332155477
Busan,사상,삼락동,291.71528588098016
Busan,사상,엄궁동,293.11671943976825
Busan,사상,주례동,281.40809702666354
Busan,사상,학장동,250.0416736122687
Busan,사하,감천동,233.16062176165804
