"계정항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.2/4,2023.2/4,2023.2/4,2023.3/4,2023.3/4,2023.3/4,2023.4/4,2023.4/4,2023.4/4,2024.1/4,2024.1/4,2024.1/4,2024.2/4,2024.2/4,2024.2/4,2024.3/4,2024.3/4,2024.3/4,2024.4/4,2024.4/4,2024.4/4,2025.1/4,2025.1/4,2025.1/4,2025.2/4,2025.2/4,2025.2/4,2025.3/4,2025.3/4,2025.3/4,2025.4/4,2025.4/4,2025.4/4
"계정항목별",원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률,원데이터,전년동분기 대비 증감,증감률
"비금속광물제품 제조업",3190.2,-168.4,-5.01399393,3250.9,-180.5,-5.26024363,3153.4,-176.2,-5.29192696,3191.1,-219.4,-6.43307433,3031.6,-158.6,-4.97147514,2932.8,-318.1,-9.78498262,3056,-97.4,-3.08872963,3297,105.9,3.31860487,3056.9,25.3,0.83454282,3067.6,134.8,4.59629023,3187.3,131.3,4.29646597,3023.4,-273.6,-8.29845314,3076.9,20,0.65425758,2884,-183.6,-5.98513496,3054.4,-132.9,-4.16967339,2803.6,-219.8,-7.26996097,2878,-198.9,-6.46429848,2695.3,-188.7,-6.54299584,2612.8,-441.6,-14.45783133,2647.9,-155.7,-5.55357398,2772.7,-105.3,-3.65879083,2712,16.7,0.61959708,2562.8,-50,-1.91365585,2581,-66.9,-2.52653046,2403.7,-369,-13.30832762,2471.8,-240.2,-8.85693215,2456,-106.8,-4.167317,2305.4,-275.6,-10.67803177
"1차금속 제조업",7485.7,88.1,1.19092679,7396.1,60.6,0.82611956,7489.8,223.6,3.07726184,7584.2,19.5,0.25777625,7536.5,50.8,0.67862725,6620.8,-775.3,-10.48255162,7358.4,-131.4,-1.75438596,7587.7,3.5,0.04614857,7334.5,-202,-2.68028926,6983.1,362.3,5.47214838,6867.4,-491,-6.67264623,6396.2,-1191.5,-15.70304572,5951.1,-1383.4,-18.86154475,5793.5,-1189.6,-17.03541407,5442.3,-1425.1,-20.7516673,5523.6,-872.6,-13.64247522,5938.5,-12.6,-0.21172556,6002.9,209.4,3.61439544,5791.8,349.5,6.4219172,6117.1,593.5,10.74480411,6203,264.5,4.4539867,5880.6,-122.3,-2.03734861,5754.5,-37.3,-0.64401395,6197.8,80.7,1.31925259,5936.2,-266.8,-4.30114461,6078.7,198.1,3.36870387,5824.7,70.2,1.21991485,5996.6,-201.2,-3.24631321
"금속가공제품 제조업",9468.8,118,1.26192411,9641.9,361.1,3.89082838,9284.4,-290,-3.02891043,9321.2,-511.3,-5.2001017,9489.4,20.6,0.21755661,8725.5,-916.4,-9.5043508,8647,-637.4,-6.86527939,8582.8,-738.4,-7.92172682,8392.3,-1097.1,-11.56132105,7692.4,-1033.1,-11.84000917,7350.5,-1296.5,-14.99363941,7253.1,-1329.7,-15.49261313,6877.1,-1515.2,-18.05464533,6728.9,-963.5,-12.5253497,6641.4,-709.1,-9.64696279,6593.6,-659.5,-9.09266383,6704.4,-172.7,-2.51123293,6828.2,99.3,1.47572412,6725.8,84.4,1.27081639,6616.9,23.3,0.35337297,6791.6,87.2,1.30063839,6759.5,-68.7,-1.00612167,6999.1,273.3,4.06345714,6607.7,-9.2,-0.13903792,6631.4,-160.2,-2.35879616,6514.6,-244.9,-3.62304904,6709,-290.1,-4.14481862,6478.7,-129,-1.95226781
"컴퓨터, 전자 및 광학기기 제조업",33714.4,1104.1,3.38574009,35248.2,1452.9,4.29911852,37076.7,1725.9,4.88220917,36196.3,2296.9,6.77563615,37638.9,3924.5,11.64042664,35487.7,239.5,0.67946732,37265.2,188.5,0.50840555,39616.1,3419.8,9.447927,41035.4,3396.5,9.02390878,42743.7,7256,20.44652091,41829.1,4563.9,12.24708307,43665.1,4049,10.22059213,45512.6,4477.2,10.91057965,46052.1,3308.4,7.74008801,45295,3465.9,8.28585841,43235.7,-429.4,-0.98339406,42929.8,-2582.8,-5.674912,45619.4,-432.7,-0.93958799,48954,3659,8.07815432,50663.4,7427.7,17.17955301,51483.8,8554,19.92555288,51569.4,5950,13.04269675,51772.9,2818.9,5.75826286,53246,2582.6,5.0975655,54088.3,2604.5,5.05887289,56831.6,5262.2,10.20411329,57403.5,5630.6,10.8755739,57555.2,4309.2,8.09300229
"전기장비 제조업",7852,109.2,1.41034251,8150.7,407.3,5.25996332,7909,63.8,0.81323612,8058.7,-180.4,-2.18955954,7777.7,-74.3,-0.94625573,7555.8,-594.9,-7.29875962,7970.5,61.5,0.77759514,8570.5,511.8,6.35090027,8819.7,1042,13.39727683,8808.2,1252.4,16.57534609,8557.5,587,7.36465717,8934.8,364.3,4.25062715,9456.8,637.1,7.22360171,9482.1,673.9,7.65082537,9167.8,610.3,7.13175577,8857,-77.8,-0.87075256,8842.2,-614.6,-6.49902716,8948.2,-533.9,-5.63060925,9348.9,181.1,1.97539213,8913.5,56.5,0.63791351,8686.4,-155.8,-1.76200493,8622.5,-325.7,-3.63983818,8858.9,-490,-5.24125833,8455.4,-458.1,-5.1393953,8297.6,-388.8,-4.47596242,8522.7,-99.8,-1.15743694,9004.4,145.5,1.6424161,8276.8,-178.6,-2.11225962
"기계 및 장비 제조업",12544.7,-157.2,-1.23761012,12251.2,-274,-2.18758982,12075,-459.6,-3.66665071,12631.6,366.4,2.9873137,12637.4,92.7,0.73895749,11782.6,-468.6,-3.82493144,12175.1,100.1,0.82898551,12699.9,68.3,0.54070743,13328.1,690.7,5.46552297,13952.7,2170.1,18.41783647,13953.5,1778.4,14.60686155,13975,1275.1,10.04023654,14421.8,1093.7,8.20597084,14444.4,491.7,3.52404911,14976.9,1023.4,7.33436055,14882.2,907.2,6.49159213,13893.3,-528.5,-3.66459111,13364.4,-1080,-7.47694608,13538.1,-1438.8,-9.60679446,13902.1,-980.1,-6.58571985,13830,-63.3,-0.4556153,13825.1,460.7,3.44721798,14021.4,483.3,3.56992488,13779.2,-122.9,-0.8840391,13215.4,-614.6,-4.4439624,13576.3,-248.8,-1.79962532,13764.9,-256.5,-1.82934657,13345.8,-433.4,-3.14532048
"운송장비 제조업",15836.3,505.2,3.29526257,16392.2,336.4,2.09519301,15752.5,62,0.39514356,16453.5,-405.6,-2.40582237,14998.7,-837.6,-5.28911425,12910.3,-3481.9,-21.24120008,14445.5,-1307,-8.2970957,15424.1,-1029.4,-6.25641961,15767.7,769,5.12711102,15586,2675.7,20.72531235,14768.8,323.3,2.23806722,15254,-170.1,-1.10281961,16478.3,710.6,4.50668138,16097.9,511.9,3.28435776,18333.3,3564.5,24.13533936,17232.2,1978.2,12.96840173,19402.9,2924.6,17.74819004,19923.6,3825.7,23.76521161,20607.6,2274.3,12.40529528,19729.6,2497.4,14.49263588,19419.5,16.6,0.08555422,20801.8,878.2,4.40783794,21740.3,1132.7,5.49651585,20950.9,1221.3,6.19019139,20621.7,1202.2,6.19068462,21412,610.2,2.93339999,22955.3,1215,5.58869933,21347.8,396.9,1.89442936
"기타 제조업 및 산업용 장비 수리업",3353,-187.2,-5.28783685,3237.4,-402.4,-11.0555525,3141.3,-435.5,-12.17568777,3166.1,-368,-10.41283495,3289.1,-63.9,-1.90575604,3185.1,-52.3,-1.61549391,3077.2,-64.1,-2.04055646,3099.5,-66.6,-2.10353432,3291,1.9,0.05776656,3173.7,-11.4,-0.35791655,3108.2,31,1.00740933,3032.6,-66.9,-2.15841265,3070.3,-220.7,-6.70616834,3112.4,-61.3,-1.93149951,3040.7,-67.5,-2.17167492,2963,-69.6,-2.29506034,2737.2,-333.1,-10.84910269,2678.4,-434,-13.94422311,2771.6,-269.1,-8.84993587,2808.2,-154.8,-5.22443469,2901.7,164.5,6.00979103,2774.4,96,3.58422939,2819.3,47.7,1.72102757,2725.1,-83.1,-2.95919094,2810.4,-91.3,-3.1464314,2560.5,-213.9,-7.70977509,2603.3,-216,-7.66147625,2875.6,150.5,5.52273311
"전기, 가스 및 수도사업",10686.6,633.1,6.29730939,11428.5,1148.1,11.16785339,10266.7,-234.7,-2.2349401,10747.1,44,0.41109585,11484.4,797.8,7.46542399,11451.4,22.9,0.20037625,11212.1,945.4,9.20841166,11457.4,710.3,6.60922481,11673.7,189.3,1.64832294,11575.6,124.2,1.08458354,11601.3,389.2,3.47124981,11552.5,95.1,0.83003125,11809.1,135.4,1.15987219,12138.7,563.1,4.86454266,11984.9,383.6,3.30652599,12087.6,535.1,4.63189786,11245.6,-563.5,-4.77174382,11657.8,-480.9,-3.96170924,11778.4,-206.5,-1.72300144,12085.1,-2.5,-0.02068235,11934.1,688.5,6.12239454,11944.3,286.5,2.45758205,12587.6,809.2,6.87020308,11843.3,-241.8,-2.00081092,12462.4,528.3,4.42681057,11784.2,-160.1,-1.3403883,12435.7,-151.9,-1.20674314,11364.6,-478.7,-4.04194777
"전기업",5835.2,759.2,14.95665879,6466.8,1138.6,21.36931797,5316.2,-291,-5.18975603,5664.9,-157,-2.69671413,6515.9,680.7,11.66540993,6712.4,245.6,3.79785984,6394.4,1078.2,20.28140401,6334.6,669.7,11.82192095,6617.1,101.2,1.5531239,6426.5,-285.9,-4.25928133,6513.1,118.7,1.85631177,6519.3,184.7,2.91573264,7020.8,403.7,6.10085989,7224.8,798.3,12.42200265,7309.1,796,12.22152278,6987.7,468.4,7.18482046,7795,774.2,11.02723336,7354.8,130,1.79935777,6799.7,-509.4,-6.96939432,7632.1,644.4,9.22191851,7547.9,-247.1,-3.16998076,7528.2,173.4,2.35764399,8122.9,1323.2,19.45968204,8190.6,558.5,7.31777623,8128.9,581,7.69750527,7497.4,-30.8,-0.40912834,8104.8,-18.1,-0.22282682,7544.2,-646.4,-7.89197373
