시도명,선거구명,법정읍면동명,투표구명,후보자,득표수
서울특별시,종로구,거소·선상투표,,선거인수,205
서울특별시,종로구,거소·선상투표,,투표수,201
서울특별시,종로구,거소·선상투표,,새누리당 오세훈,113
서울특별시,종로구,거소·선상투표,,더불어민주당 정세균,58
서울특별시,종로구,거소·선상투표,,국민의당 박태순,13
서울특별시,종로구,거소·선상투표,,정의당 윤공규,1
서울특별시,종로구,거소·선상투표,,노동당 김한울,5
서울특별시,종로구,거소·선상투표,,녹색당 하승수,1
서울특별시,종로구,거소·선상투표,,진리대한당 이석인,0
서울특별시,종로구,거소·선상투표,,한나라당 박종구,2
서울특별시,종로구,거소·선상투표,,무소속 김대한,0
서울특별시,종로구,거소·선상투표,,무소속 이원옥,1
서울특별시,종로구,거소·선상투표,,무효 투표수,7
서울특별시,종로구,거소·선상투표,,기권자수,4
서울특별시,종로구,관외사전투표,,선거인수,5694
서울특별시,종로구,관외사전투표,,투표수,5694
서울특별시,종로구,관외사전투표,,새누리당 오세훈,2164
서울특별시,종로구,관외사전투표,,더불어민주당 정세균,2897
서울특별시,종로구,관외사전투표,,국민의당 박태순,396
서울특별시,종로구,관외사전투표,,정의당 윤공규,49
서울특별시,종로구,관외사전투표,,노동당 김한울,40
서울특별시,종로구,관외사전투표,,녹색당 하승수,45
서울특별시,종로구,관외사전투표,,진리대한당 이석인,6
서울특별시,종로구,관외사전투표,,한나라당 박종구,12
서울특별시,종로구,관외사전투표,,무소속 김대한,23
서울특별시,종로구,관외사전투표,,무소속 이원옥,13
서울특별시,종로구,관외사전투표,,무효 투표수,49
서울특별시,종로구,관외사전투표,,기권자수,0
서울특별시,종로구,국외부재자투표,,선거인수,848
서울특별시,종로구,국외부재자투표,,투표수,482
서울특별시,종로구,국외부재자투표,,새누리당 오세훈,162
서울특별시,종로구,국외부재자투표,,더불어민주당 정세균,274
서울특별시,종로구,국외부재자투표,,국민의당 박태순,25
서울특별시,종로구,국외부재자투표,,정의당 윤공규,6
서울특별시,종로구,국외부재자투표,,노동당 김한울,3
서울특별시,종로구,국외부재자투표,,녹색당 하승수,6
서울특별시,종로구,국외부재자투표,,진리대한당 이석인,0
서울특별시,종로구,국외부재자투표,,한나라당 박종구,3
서울특별시,종로구,국외부재자투표,,무소속 김대한,2
서울특별시,종로구,국외부재자투표,,무소속 이원옥,0
서울특별시,종로구,국외부재자투표,,무효 투표수,1
서울특별시,종로구,국외부재자투표,,기권자수,366
서울특별시,종로구,청운효자동,관내사전투표,선거인수,1148
서울특별시,종로구,청운효자동,관내사전투표,투표수,1147
서울특별시,종로구,청운효자동,관내사전투표,새누리당 오세훈,430
서울특별시,종로구,청운효자동,관내사전투표,더불어민주당 정세균,630
서울특별시,종로구,청운효자동,관내사전투표,국민의당 박태순,52
서울특별시,종로구,청운효자동,관내사전투표,정의당 윤공규,5
서울특별시,종로구,청운효자동,관내사전투표,노동당 김한울,10
서울특별시,종로구,청운효자동,관내사전투표,녹색당 하승수,9
서울특별시,종로구,청운효자동,관내사전투표,진리대한당 이석인,0
서울특별시,종로구,청운효자동,관내사전투표,한나라당 박종구,0
서울특별시,종로구,청운효자동,관내사전투표,무소속 김대한,2
서울특별시,종로구,청운효자동,관내사전투표,무소속 이원옥,0
서울특별시,종로구,청운효자동,관내사전투표,무효 투표수,9
