시도명,선거구명,법정읍면동명,투표구명,후보자,득표수
서울특별시,종로구,국내부재자투표,,선거인수,2346
서울특별시,종로구,국내부재자투표,,투표수,2155
서울특별시,종로구,국내부재자투표,,새누리당 홍사덕,786
서울특별시,종로구,국내부재자투표,,민주통합당 정세균,1012
서울특별시,종로구,국내부재자투표,,국민의 힘 김준수,24
서울특별시,종로구,국내부재자투표,,국민행복당 홍성훈,26
서울특별시,종로구,국내부재자투표,,불교연합당 정재복,6
서울특별시,종로구,국내부재자투표,,진보신당 최백순,26
서울특별시,종로구,국내부재자투표,,무소속 류승구,25
서울특별시,종로구,국내부재자투표,,무소속 서맹종,28
서울특별시,종로구,국내부재자투표,,무효 투표수,222
서울특별시,종로구,국내부재자투표,,기권자수,191
서울특별시,종로구,국외부재자투표,,선거인수,838
서울특별시,종로구,국외부재자투표,,투표수,436
서울특별시,종로구,국외부재자투표,,새누리당 홍사덕,174
서울특별시,종로구,국외부재자투표,,민주통합당 정세균,238
서울특별시,종로구,국외부재자투표,,국민의 힘 김준수,1
서울특별시,종로구,국외부재자투표,,국민행복당 홍성훈,3
서울특별시,종로구,국외부재자투표,,불교연합당 정재복,1
서울특별시,종로구,국외부재자투표,,진보신당 최백순,6
서울특별시,종로구,국외부재자투표,,무소속 류승구,0
서울특별시,종로구,국외부재자투표,,무소속 서맹종,2
서울특별시,종로구,국외부재자투표,,무효 투표수,11
서울특별시,종로구,국외부재자투표,,기권자수,402
서울특별시,종로구,청운효자동,청운효자동제1투,선거인수,3643
서울특별시,종로구,청운효자동,청운효자동제1투,투표수,2218
서울특별시,종로구,청운효자동,청운효자동제1투,새누리당 홍사덕,1096
서울특별시,종로구,청운효자동,청운효자동제1투,민주통합당 정세균,1059
서울특별시,종로구,청운효자동,청운효자동제1투,국민의 힘 김준수,5
서울특별시,종로구,청운효자동,청운효자동제1투,국민행복당 홍성훈,3
서울특별시,종로구,청운효자동,청운효자동제1투,불교연합당 정재복,1
서울특별시,종로구,청운효자동,청운효자동제1투,진보신당 최백순,17
서울특별시,종로구,청운효자동,청운효자동제1투,무소속 류승구,6
서울특별시,종로구,청운효자동,청운효자동제1투,무소속 서맹종,5
서울특별시,종로구,청운효자동,청운효자동제1투,무효 투표수,26
서울특별시,종로구,청운효자동,청운효자동제1투,기권자수,1425
서울특별시,종로구,청운효자동,청운효자동제2투,선거인수,3757
서울특별시,종로구,청운효자동,청운효자동제2투,투표수,2393
서울특별시,종로구,청운효자동,청운효자동제2투,새누리당 홍사덕,1133
서울특별시,종로구,청운효자동,청운효자동제2투,민주통합당 정세균,1197
서울특별시,종로구,청운효자동,청운효자동제2투,국민의 힘 김준수,4
서울특별시,종로구,청운효자동,청운효자동제2투,국민행복당 홍성훈,2
서울특별시,종로구,청운효자동,청운효자동제2투,불교연합당 정재복,1
서울특별시,종로구,청운효자동,청운효자동제2투,진보신당 최백순,24
서울특별시,종로구,청운효자동,청운효자동제2투,무소속 류승구,3
서울특별시,종로구,청운효자동,청운효자동제2투,무소속 서맹종,2
서울특별시,종로구,청운효자동,청운효자동제2투,무효 투표수,27
서울특별시,종로구,청운효자동,청운효자동제2투,기권자수,1364
서울특별시,종로구,청운효자동,청운효자동제3투,선거인수,4296
서울특별시,종로구,청운효자동,청운효자동제3투,투표수,2655
서울특별시,종로구,청운효자동,청운효자동제3투,새누리당 홍사덕,1126
서울특별시,종로구,청운효자동,청운효자동제3투,민주통합당 정세균,1456
서울특별시,종로구,청운효자동,청운효자동제3투,국민의 힘 김준수,5
서울특별시,종로구,청운효자동,청운효자동제3투,국민행복당 홍성훈,2
서울특별시,종로구,청운효자동,청운효자동제3투,불교연합당 정재복,1
서울특별시,종로구,청운효자동,청운효자동제3투,진보신당 최백순,26
서울특별시,종로구,청운효자동,청운효자동제3투,무소속 류승구,7
서울특별시,종로구,청운효자동,청운효자동제3투,무소속 서맹종,3
서울특별시,종로구,청운효자동,청운효자동제3투,무효 투표수,29
서울특별시,종로구,청운효자동,청운효자동제3투,기권자수,1641
서울특별시,종로구,사직동,사직동제1투,선거인수,3805
서울특별시,종로구,사직동,사직동제1투,투표수,2134
서울특별시,종로구,사직동,사직동제1투,새누리당 홍사덕,953
서울특별시,종로구,사직동,사직동제1투,민주통합당 정세균,1125
서울특별시,종로구,사직동,사직동제1투,국민의 힘 김준수,3
서울특별시,종로구,사직동,사직동제1투,국민행복당 홍성훈,3
서울특별시,종로구,사직동,사직동제1투,불교연합당 정재복,1
서울특별시,종로구,사직동,사직동제1투,진보신당 최백순,21
서울특별시,종로구,사직동,사직동제1투,무소속 류승구,6
서울특별시,종로구,사직동,사직동제1투,무소속 서맹종,1
서울특별시,종로구,사직동,사직동제1투,무효 투표수,21
서울특별시,종로구,사직동,사직동제1투,기권자수,1671
서울특별시,종로구,사직동,사직동제2투,선거인수,4694
서울특별시,종로구,사직동,사직동제2투,투표수,2918
서울특별시,종로구,사직동,사직동제2투,새누리당 홍사덕,1853
서울특별시,종로구,사직동,사직동제2투,민주통합당 정세균,994
서울특별시,종로구,사직동,사직동제2투,국민의 힘 김준수,7
서울특별시,종로구,사직동,사직동제2투,국민행복당 홍성훈,7
서울특별시,종로구,사직동,사직동제2투,불교연합당 정재복,1
서울특별시,종로구,사직동,사직동제2투,진보신당 최백순,21
서울특별시,종로구,사직동,사직동제2투,무소속 류승구,2
서울특별시,종로구,사직동,사직동제2투,무소속 서맹종,5
서울특별시,종로구,사직동,사직동제2투,무효 투표수,28
서울특별시,종로구,사직동,사직동제2투,기권자수,1776
서울특별시,종로구,삼청동,삼청동투표소,선거인수,2831
서울특별시,종로구,삼청동,삼청동투표소,투표수,1708
서울특별시,종로구,삼청동,삼청동투표소,새누리당 홍사덕,902
서울특별시,종로구,삼청동,삼청동투표소,민주통합당 정세균,755
서울특별시,종로구,삼청동,삼청동투표소,국민의 힘 김준수,3
서울특별시,종로구,삼청동,삼청동투표소,국민행복당 홍성훈,7
