elec,level,channel,source,n_units,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_ext,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag_which,n_iter,parcomp,elapsed,leader_side
pres20,constituency,total,joint_null,248,0.778,0.6225,0.882,0.1832,0.0363,0.2195,2791561.7,163678.1,8045053.4,5331194.0,362724.1,15093083.4,26,4.8027,True,0.1932,0.1652,0.0289,0.0,0.0,0.9942,"pi1, pi2",5000,FALSE,1456.0,dem
pres20,dong,early,real,3509,0.9454,0.8725,0.9713,0.0536,0.0002,0.0538,225689.3,751.0,802053.0,589160.4,1427.0,2126202.0,132,12.7052,True,0.0865,0.0865,0.0,0.0,0.0,1.0,"pi1, pi2",3000,TRUE,1666.6,dem
pres20,dong,early,marginal_null,3509,0.9678,0.8519,0.9832,0.0319,0.0002,0.0321,236400.3,1487.0,898404.9,567172.1,3081.0,2178259.0,85,15.2542,True,0.1185,0.1185,0.0,0.0,0.0,0.9968,"pi1, pi2",5000,FALSE,5052.4,dem
pres20,dong,early,joint_null,3509,0.9756,0.9688,0.9837,0.0241,0.0002,0.0243,114421.2,704.0,409566.0,311906.7,1720.0,1083623.0,35,2.0127,True,0.0077,0.0077,0.0001,0.9938,0.9984,1.0,,3000,TRUE,1721.8,dem
pres20,dong,pooled,real,3509,0.8685,0.7929,0.8993,0.1292,0.0012,0.1304,1210650.9,38332.0,3925210.9,2496708.0,70246.1,8171668.0,297,8.7197,True,0.0901,0.0892,0.0034,0.0,0.0,0.9987,"pi1, pi2",3000,TRUE,1396.8,dem
pres20,dong,pooled,marginal_null,3509,0.8192,0.7971,0.9142,0.1779,0.0024,0.1803,1321676.0,28532.0,4092306.3,2900939.2,55035.0,9250531.6,321,10.0348,True,0.1008,0.0985,0.0031,0.0,0.0,0.0,"pi1, pi2",5000,FALSE,5372.1,dem
pres20,dong,pooled,joint_null,3509,0.8117,0.7927,0.8302,0.1869,0.0012,0.1881,1317056.4,68357.1,3947360.1,3116286.0,150974.1,9255473.0,418,1.8409,True,0.0178,0.0183,0.0014,0.9981,0.9976,0.998,,3000,TRUE,1558.1,dem
pres20,dong,sameday,real,3509,0.9964,0.9937,0.9983,0.0033,0.0002,0.0035,10386.7,0.0,48331.0,36739.0,0.0,157164.0,1,1.3821,True,0.0016,0.0016,0.0,0.9994,0.994,0.9973,,3000,TRUE,1607.9,dem
pres20,dong,sameday,marginal_null,3509,0.9952,0.992,0.9978,0.0046,0.0002,0.0048,20543.0,0.0,91677.0,67334.7,0.0,275999.0,3,1.3419,True,0.0022,0.0022,0.0,0.9808,0.9974,0.9988,,5000,FALSE,5717.8,dem
pres20,dong,sameday,joint_null,3509,0.9948,0.9909,0.998,0.0049,0.0002,0.0051,21845.2,0.0,99459.1,96278.1,0.0,389110.0,1,2.0353,True,0.0035,0.0035,0.0,0.9925,0.9871,0.999,,3000,TRUE,1632.5,dem
pres21,constituency,early,real,253,0.9054,0.8018,0.9673,0.0899,0.0028,0.0927,520016.9,0.0,1707414.2,1456140.0,0.0,4871039.4,7,4.2054,True,0.1152,0.1148,0.0004,0.0,0.0,0.9968,"pi1, pi2",5000,FALSE,244.4,dem
pres21,constituency,early,marginal_null,253,0.9259,0.8469,0.9639,0.0698,0.0027,0.0725,408512.6,0.0,1515790.9,1223596.9,0.0,4473900.6,3,2.7698,True,0.0705,0.0703,0.0002,0.9947,0.9969,1.0,,5000,FALSE,243.5,dem
pres21,constituency,early,joint_null,253,0.9381,0.8979,0.9717,0.0579,0.0027,0.0606,308705.4,20799.0,1025238.0,1002167.1,47360.0,3305545.9,2,1.6253,True,0.0317,0.0318,0.0002,0.9292,0.9945,0.9998,,5000,FALSE,243.3,dem
pres21,constituency,early_out,real,253,0.9398,0.9048,0.9984,0.0562,0.0029,0.0591,49593.8,0.0,210795.1,662682.9,0.0,2565414.3,0,2.9513,True,0.0626,0.0621,0.0004,0.0,0.0,0.9994,"pi1, pi2",5000,FALSE,241.1,dem
pres21,constituency,early_out,marginal_null,253,0.9635,0.8943,0.9998,0.0324,0.0027,0.0351,51701.0,0.0,246410.0,606159.8,0.0,2522610.6,0,4.3665,True,0.0832,0.0831,0.0002,0.0,0.0,1.0,"pi1, pi2",5000,FALSE,246.3,dem
pres21,constituency,early_out,joint_null,253,0.9399,0.8682,0.9916,0.0561,0.0028,0.0589,63256.5,0.0,274404.0,893777.2,0.0,3401685.7,0,3.5986,True,0.091,0.0912,0.0002,0.0,0.0,1.0,"pi1, pi2",5000,FALSE,244.5,dem
pres21,constituency,early_total,real,253,0.9238,0.8794,0.9673,0.0714,0.0036,0.075,301742.8,17718.0,698506.9,604575.7,35525.0,1406402.0,11,1.7267,True,0.0433,0.0393,0.0041,1.0,0.9983,1.0,,5000,FALSE,243.2,dem
pres21,constituency,early_total,marginal_null,253,0.9199,0.8812,0.9551,0.0743,0.0045,0.0788,378465.5,31290.0,868971.9,748911.4,61766.0,1715767.8,11,1.2521,True,0.0237,0.0197,0.004,0.9934,1.0,0.9978,,5000,FALSE,242.9,dem
pres21,constituency,early_total,joint_null,253,0.9224,0.8772,0.9609,0.0735,0.0027,0.0763,569087.4,5553.0,1504580.0,1122497.2,11408.0,2930668.3,9,1.5945,True,0.0382,0.0383,0.0002,0.9948,0.9995,0.9884,,5000,FALSE,245.2,dem
pres21,constituency,sameday,real,253,0.9901,0.9716,0.9996,0.0055,0.0028,0.0083,6001.6,0.0,26381.0,19929.7,0.0,83298.0,0,1.7265,True,0.0122,0.0121,0.0003,0.9989,0.9975,0.9998,,5000,FALSE,243.6,dem
pres21,constituency,sameday,marginal_null,253,0.983,0.9609,0.9977,0.013,0.0026,0.0156,13928.9,0.0,49055.0,54652.0,0.0,173548.0,0,1.531,True,0.0159,0.0156,0.0004,0.9964,0.9929,1.0,,5000,FALSE,242.8,dem
pres21,constituency,sameday,joint_null,253,0.9745,0.9359,0.9948,0.0211,0.0029,0.0239,48932.4,0.0,176745.0,177679.1,0.0,598695.0,0,2.2627,True,0.0314,0.0317,0.0003,0.9962,0.9951,0.9952,,5000,FALSE,244.4,dem
pres21,constituency,total,real,242,0.6794,0.6075,0.8655,0.271,0.0417,0.3127,3938938.2,154035.0,11605505.8,7513377.2,279558.9,22240975.9,26,4.1449,True,0.1772,0.1483,0.0455,0.0,0.0,0.0,"pi1, pi2, pi3",5000,FALSE,239.2,dem
pres21,constituency,total,marginal_null,242,0.6843,0.6222,0.7454,0.2648,0.0494,0.3142,4463627.2,346133.2,11034510.9,8663934.5,657243.3,21582922.9,34,1.1867,True,0.0265,0.0279,0.0124,1.0,1.0,0.9968,,5000,FALSE,241.1,dem
pres21,constituency,total,joint_null,242,0.8183,0.6382,0.9338,0.1493,0.034,0.1833,2917529.2,44627.0,8504073.7,5723107.3,85802.0,16864677.8,21,6.5322,True,0.2315,0.166,0.0702,0.0,0.0,0.0,"pi1, pi2, pi3",5000,FALSE,239.9,dem
pres21,dong,early,real,3553,0.9946,0.9897,0.9976,0.0051,0.0002,0.0053,19534.5,0.0,100231.0,117094.1,0.0,532043.0,0,2.2372,True,0.0045,0.0046,0.0,1.0,1.0,0.9955,,3000,TRUE,8444.0,dem
pres21,dong,early,marginal_null,3553,0.9868,0.9782,0.9919,0.013,0.0002,0.0132,39147.7,0.0,202286.0,281099.3,0.0,1159504.9,2,2.6218,True,0.0084,0.0084,0.0,0.9993,0.9988,0.9924,,3000,TRUE,10227.7,dem
pres21,dong,early,joint_null,3553,0.9954,0.9907,0.9983,0.0043,0.0002,0.0045,20218.2,0.0,91950.0,108067.3,0.0,420599.0,1,2.3325,True,0.0044,0.0044,0.0,0.9995,1.0,0.998,,3000,TRUE,8121.9,dem
pres21,dong,pooled,real,3553,0.7844,0.7617,0.9117,0.2125,0.0028,0.2153,1436206.3,40410.0,4732696.6,3308777.5,88541.0,10881894.5,388,12.7349,True,0.1345,0.1303,0.0042,0.0,0.0,0.0,"pi1, pi2",3000,TRUE,1397.5,dem
pres21,dong,pooled,marginal_null,3553,0.787,0.7706,0.91,0.2079,0.0046,0.2125,1504530.4,39810.0,4907363.7,3299246.7,80874.0,10830152.7,387,11.8647,True,0.1213,0.1176,0.0037,0.0,0.0,0.0,"pi1, pi2",5000,FALSE,5785.8,dem
pres21,dong,pooled,joint_null,3553,0.7876,0.7694,0.9204,0.2081,0.0035,0.2116,1343669.7,49267.0,4386661.0,3049985.8,111494.0,9885276.1,374,13.327,True,0.1346,0.1309,0.0051,0.0,0.0,0.0,"pi1, pi2",3000,TRUE,1597.2,dem
pres21,dong,sameday,real,3553,0.9961,0.9936,0.9981,0.0037,0.0002,0.0038,8694.0,0.0,36458.0,36380.4,0.0,136385.0,0,1.2401,True,0.0014,0.0014,0.0,0.9991,0.9985,0.9817,,3000,TRUE,1451.4,dem
pres21,dong,sameday,marginal_null,3553,0.9963,0.9941,0.9983,0.0034,0.0002,0.0036,10030.1,0.0,44873.0,37168.3,0.0,151322.0,1,1.1009,True,0.0009,0.001,0.0001,1.0,0.9921,0.9994,,5000,FALSE,5729.2,dem
pres21,dong,sameday,joint_null,3553,0.9953,0.9927,0.9975,0.0044,0.0002,0.0046,19816.2,0.0,87720.9,87546.7,0.0,344749.0,0,1.0566,True,0.0008,0.0008,0.0,0.9957,1.0,0.9947,,3000,TRUE,1733.1,dem
