"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-04-01 ~ 2021-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"36","광주광역시 서구 금호동","738-2","0738","0002","금호동우미호반아파트","84.8900","202104","30","23,000","-","13","-","-","1994","운천로 61","-","-","-","-"
"37","광주광역시 서구 금호동","809","0809","0000","호반리젠시빌5차","84.8910","202104","30","33,000","-","9","-","-","2002","화개1로78번길 8","-","-","-","-"
"38","광주광역시 서구 금호동","813","0813","0000","대주파크빌","59.9400","202104","30","17,500","-","2","-","-","2000","화개1로24번길 9","-","-","-","-"
"39","인천광역시 남동구 만수동","5-287","0005","0287","한국공영","45.2400","202104","30","7,700","-","3","-","-","1983","만수로75번길 35-12","-","-","-","-"
"40","부산광역시 해운대구 좌동","1396","1396","0000","대림","59.8160","202104","30","38,000","-","10","-","-","1996","대천로103번길 47","-","-","-","-"
"41","부산광역시 금정구 부곡동","958","0958","0000","부곡늘푸른아파트","45.7200","202104","30","9,200","-","1","-","-","1991","동현로 67","-","-","-","-"
"42","대전광역시 서구 둔산동","1809","1809","0000","국화우성","84.9600","202104","30","59,800","-","5","-","-","1992","둔산로 201","-","-","-","-"
"43","대전광역시 서구 둔산동","1809","1809","0000","국화동성","134.0600","202104","30","77,000","-","9","-","-","1991","둔산로 201","-","-","-","-"
"44","인천광역시 서구 검암동","535-1","0535","0001","신명스카이뷰2","84.9660","202104","30","35,000","-","11","-","-","2003","검암로10번길 54","-","-","-","-"
"45","서울특별시 구로구 신도림동","290","0290","0000","미성","66.0300","202104","30","83,000","-","1","-","-","1987","신도림로11가길 36","-","-","-","-"
"46","대전광역시 동구 용전동","1","0001","0000","신동아","67.6400","202104","30","18,850","-","8","-","-","1990","한밭대로1237번길 52","-","-","-","-"
"47","부산광역시 북구 덕천동","406","0406","0000","한성","42.3500","202104","30","14,600","-","5","-","-","1983","만덕대로142번길 31","-","-","-","-"
"48","광주광역시 서구 마륵동","803","0803","0000","한신휴플러스","84.8109","202104","30","69,200","-","15","-","-","2013","마륵복개로 98","-","-","-","-"
"49","서울특별시 서대문구 남가좌동","385","0385","0000","DMC파크뷰자이1단지","84.9680","202104","30","146,000","-","9","-","-","2015","가재울미래로 2","-","-","-","-"
"50","부산광역시 연제구 연산동","2352","2352","0000","연산더샵","39.9681","202104","30","31,000","-","6","-","-","2019","연수로 130","-","-","-","-"
"51","대전광역시 유성구 지족동","919","0919","0000","열매마을7단지(현대1차)","77.0460","202104","30","45,900","-","20","-","-","2000","은구비남로 55","-","-","-","-"
"52","대전광역시 동구 자양동","83-6","0083","0006","임광(83-6)","73.8900","202104","30","11,000","-","3","-","-","1990","성동로7번길 58-11","-","-","-","-"
"53","서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.8700","202104","30","158,000","-","2","-","-","2007","금호로 15","-","-","-","-"
"54","광주광역시 북구 중흥동","819","0819","0000","중흥동영무예다음아파트","83.9485","202104","30","40,500","-","9","-","-","2015","서방로40번길 13","-","-","-","-"
"55","대전광역시 동구 용전동","194-3","0194","0003","한숲","84.9400","202104","30","31,000","-","6","-","-","1999","계족로489번길 73","-","-","-","-"
"56","인천광역시 미추홀구 용현동","627-40","0627","0040","금호타운","84.2900","202104","30","24,700","-","1","-","-","1991","낙섬동로 9","-","-","-","-"
"57","광주광역시 남구 봉선동","107","0107","0000","쌍용스윗닷홈","140.1509","202104","30","129,000","-","6","-","-","2005","봉선중앙로 8","-","-","-","-"
"58","광주광역시 남구 봉선동","23-3","0023","0003","무등파크3차(1단지)","59.9400","202104","30","14,800","-","4","-","-","1992","용대로 90-1","-","-","-","-"
"59","대구광역시 달서구 상인동","821","0821","0000","월촌화성타운","59.9700","202104","30","35,000","-","11","-","-","1999","송현로7길 41","-","-","-","-"
"60","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","75.7200","202104","30","28,500","-","8","-","-","2008","동천로18번길 19","-","-","-","-"
"61","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","84.9500","202104","30","32,000","-","15","-","-","2008","동천로18번길 19","-","-","-","-"
"62","대구광역시 달서구 상인동","87","0087","0000","상인e-편한세상2단지","134.4230","202104","30","80,000","-","9","-","-","2008","월서로3길 15","-","-","-","-"
"63","서울특별시 서대문구 홍은동","202-5","0202","0005","현대(1,2차)","84.7700","202104","30","89,500","-","6","-","-","1989","연희로 377","-","-","-","-"
"64","인천광역시 미추홀구 용현동","627-78","0627","0078","한양1차","84.6000","202104","30","23,900","-","3","-","-","1990","낙섬중로 20","-","-","-","-"
