,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_m_1824,-0.13602517493276728,0.13213459929542307,-0.008142926060067161,0.22343166886189156,-0.07687605721152417,0.1474648567742935,0.17694671614004268,-0.13292568383076758,-0.13519957493915324,-0.19650117153892477,0.13980008154307166
pct_m_2529,-0.1407050377056278,0.05412877764615842,-0.04946634497145278,-0.041138269795992666,0.181332548520318,0.1398561373108632,0.3313459480351775,-0.2863877489514793,-0.10321877228337888,-0.03488846205726151,-0.0941505408017214
pct_m_3034,-0.15944636807493479,0.09136814986064745,-0.05975600037403151,-0.12821412472221605,0.22605418630451785,0.03098589542743146,0.1563316454759736,-0.16094523558898713,0.10911344828996722,0.08124801679442745,-0.13744203493861679
pct_m_3539,-0.15590798686030885,0.1612310017182903,-0.04241251467035143,-0.07777033880380273,0.19875659617322786,-0.08803453090113311,-0.08602706335843875,0.0478505649897779,0.24747237222918098,0.11758011592550147,-0.08544817250655072
pct_m_4044,-0.1514490228431566,0.1885050792215406,-0.0002465180778744934,0.03123612907818087,0.10029411214449008,-0.1064722548216188,-0.21096092718742626,0.1547080404506964,0.1539336145553844,0.09127016762692619,-0.041771851793684985
pct_m_4549,-0.12854080951976973,0.19500183498384474,0.049512656962552054,0.1849409686094497,-0.08806542828825453,-0.02499620118778948,-0.20006048230964663,0.19704123840987928,-0.13923736806262335,0.08503210808936211,-0.06268477053972361
pct_m_5054,-0.0528777968019161,0.11681217434578674,0.17507760126411565,0.2842068561266438,-0.26255088543268834,0.16441516998366776,-0.06803020574282834,0.07560653596242699,-0.328097572481671,0.2564147324080683,-0.2502874274160836
pct_m_5559,0.1180604720272321,-0.07214626205234093,0.24984373916284455,0.07415682790744897,-0.13323424656584482,0.17716009908980992,0.0874327124943823,-0.05459648658996892,-0.020936262773391733,0.29304483629066663,-0.2689029695460916
pct_m_6064,0.16379839355860706,-0.15066837223112048,0.14551072193799244,-0.035811048667248095,-0.02473510500809156,0.0605454964567801,0.038262189628996336,-0.0035309812010273496,0.09542849270918409,0.1448776570009895,-0.06203527579697666
pct_m_6569,0.16735704525885303,-0.1773023359687968,0.07541690819776987,-0.06761464049750539,-0.00012140532351519885,-0.016895694008926206,-0.015431109413280759,0.05155680034824197,0.0691400735103044,0.05917784029957125,0.007733877285487623
pct_m_70plus,0.18131995158841657,-0.1275096044263007,0.0016937394464309607,-0.08937351895741955,0.005406142236425804,-0.09548882534874793,-0.005647882279401071,0.08939300822878384,-0.15308190692069087,-0.04977171986259475,0.0035979269197256377
pct_f_1824,-0.15748082023262966,0.09357239938796323,-0.08983861803447855,0.12286339230762813,-0.06716144000535856,0.10924331460871024,0.16898166397216638,-0.16803463781971623,-0.17230952106067085,-0.15681595493002007,0.15156952868033807
pct_f_2529,-0.16205299196931217,0.03578273954804611,-0.1345320936497879,-0.08902767087081175,0.10573535194502547,0.09120760785202524,0.21520568655859232,-0.2300178544941134,-0.04371376827365775,-0.004252002528277235,-0.027291317796701724
pct_f_3034,-0.16889110064446308,0.10263562794596452,-0.12468476610496494,-0.13147969241712854,0.1301397984928992,-0.014511469735641607,0.033545263523485275,-0.0674762996521311,0.1914341990665871,0.0633667426588319,-0.03495760619796959
pct_f_3539,-0.16100460928990254,0.16210860280844727,-0.0871339953630847,-0.03792237893219271,0.08005058428135718,-0.09490601432459878,-0.14921382394672508,0.0978146901532845,0.2662533570618092,0.05999886787615055,0.020126989393981262
pct_f_4044,-0.16131628246452462,0.17047604561699098,-0.04903518534374322,0.08958153806168388,-0.0523754006511012,-0.06264122313449412,-0.20499247171614243,0.13611838682499183,0.13586120644124972,-0.012278809103164808,0.07391401559564958
pct_f_4549,-0.15767034546499328,0.1472861096602503,-0.01956146220304408,0.18509244070086928,-0.18619556955674002,0.042335172571522466,-0.14152629717218476,0.05009775759786803,0.013164222258036401,-0.0656074880909097,0.10594321560079668
pct_f_5054,-0.14172086262336048,0.07189735332324394,0.05032237316997954,0.22010029790061536,-0.2606554708192215,0.1817290850966638,-0.04517982657577479,-0.12368273350652886,0.15139499226300326,-0.054625320201877034,0.06384142617396574
pct_f_5559,0.023444811663352633,-0.13393754080928968,0.18838175166282237,0.14280818979119972,-0.23019531516564215,0.29605492219809676,0.03301088065374912,-0.23412347489036953,0.5435114612684705,-0.019679184689216325,0.0531857537330452
pct_f_6064,0.14075618484033514,-0.2156197579389585,0.0897296352509475,-0.0016400398376367781,-0.04451744405101654,0.05979491032503415,-0.01924212297667749,-0.025590922591149718,0.28420855924341915,-0.03163107798945562,0.08559835749146116
pct_f_6569,0.15258364307380118,-0.21311814582543662,0.02104119607097019,-0.05346012914490576,-0.007440735558079851,-0.04920576360105951,-0.07138761568198478,0.03017590645420857,0.06734234871449904,-0.0879890639005353,0.08019099413730654
pct_f_70plus,0.18234410679209911,-0.10148517549589092,-0.014337325619818623,-0.07303147614506239,0.002652057662245492,-0.10395060883297494,-0.01583852913940751,0.07523890147430277,-0.19323207855700733,-0.055211029990209354,0.018871182266165156
emp_men_total,0.11841457041606357,0.2552010344557849,0.1344725120382536,-0.16398607529041176,-0.016634758845067227,0.1469310069480788,0.09105951823055428,0.15372031597243266,0.02615533965971136,-0.009692560984230181,0.01066462020570102
